Command Sent Home Command - #0,5,00111111*79ad  * 08-04-2025 14:21:44.115
CRC-Response  - 164,5,I001,00111111*852b * 08-04-2025 16:47:07.363
CRC-Response  - 164,5,F000*8924 * 08-04-2025 16:47:07.375
Command Sent READ TEMPERATURE - #165,11*7fd6  * 08-04-2025 16:47:24.940
CRC-Response  - 165,11,F000,545*6402 * 08-04-2025 16:47:25.151
Command Sent READ TEMPERATURE - #166,11*3bd6  * 08-04-2025 16:47:40.333
CRC-Response  - 166,11,F000,545*a707 * 08-04-2025 16:47:40.609
Command Sent WATER VALVE - 2 CONTROL OFF - #167,13,2,0*0244  * 08-04-2025 16:47:48.947
CRC-Response  - 167,13,F000*11d8 * 08-04-2025 16:47:49.164
Command Sent Rack-7 Picked from W2 - #168,2,1,46604,800,0,0*a689  * 08-04-2025 16:47:49.400
CRC-Response  - 168,2,I001,1*54d7 * 08-04-2025 16:47:49.614
CRC-Response  - 168,2,F000,1*6b86 * 08-04-2025 16:47:56.986
RA Picked Rack From W2 * 08-04-2025 16:47:57.2
Command Sent Rack-7 Dipped in J18 - #169,17,1,39344,8590,1,1,1*bc8d  * 08-04-2025 16:47:57.869
CRC-Response  - 169,17,I001,1*3c23 * 08-04-2025 16:47:58.87
CRC-Response  - 169,17,F000,1*0372 * 08-04-2025 16:48:03.900
Command Sent Rack-7 Placed in W6 - #170,3,1,42974,8590,0,0*ff8d  * 08-04-2025 16:48:04.876
CRC-Response  - 170,3,I001,1*8e93 * 08-04-2025 16:48:05.95
CRC-Response  - 170,3,F000,1*b1c2 * 08-04-2025 16:48:10.703
RA Placed Rack in W6 * 08-04-2025 16:48:10.716
Command Sent READ TEMPERATURE - #171,11*8fea  * 08-04-2025 16:48:14.944
CRC-Response  - 171,11,F000,545*210c * 08-04-2025 16:48:15.161
Command Sent READ TEMPERATURE - #172,11*cbea  * 08-04-2025 16:48:33.363
CRC-Response  - 172,11,F000,545*e209 * 08-04-2025 16:48:33.613
Command Sent WATER VALVE - 1 CONTROL ON - #173,13,1,1*a179  * 08-04-2025 16:48:36.777
CRC-Response  - 173,13,F000*14bb * 08-04-2025 16:48:36.988
Command Sent Rack-9 Picked from J6 - #174,2,2,28454,800,0,0*9e1f  * 08-04-2025 16:48:43.778
CRC-Response  - 174,2,I001,2*9653 * 08-04-2025 16:48:43.994
CRC-Response  - 174,2,F000,2*a902 * 08-04-2025 16:48:52.362
RA Picked Rack From J6 * 08-04-2025 16:48:52.366
Command Sent RA-1 Movement - #175,1,1,64754,800 ,0*0a03  * 08-04-2025 16:48:52.726
CRC-Response  - 175,1,I001,1*4702 * 08-04-2025 16:48:52.934
CRC-Response  - 175,1,F000,1*7853 * 08-04-2025 16:48:56.223
RA Moved to assigned Location * 08-04-2025 16:48:56.227
Command Sent Rack-9 Placed in W1 - #176,3,2,42974,800,0,0*0ebc  * 08-04-2025 16:48:57.117
CRC-Response  - 176,3,I001,2*9033 * 08-04-2025 16:48:57.336
CRC-Response  - 176,3,F000,2*af62 * 08-04-2025 16:49:04.144
RA Placed Rack in W1 * 08-04-2025 16:49:04.148
Command Sent RA2 Home Command - #177,5,00111000*677c  * 08-04-2025 16:49:04.570
CRC-Response  - 177,5,I001,00111000*191b * 08-04-2025 16:49:04.782
CRC-Response  - 177,5,F000*0c69 * 08-04-2025 16:49:05.319
Command Sent READ TEMPERATURE - #178,11*13e9  * 08-04-2025 16:49:07.785
CRC-Response  - 178,11,F000,545*e811 * 08-04-2025 16:49:07.994
Command Sent READ TEMPERATURE - #179,11*efe8  * 08-04-2025 16:49:25.182
CRC-Response  - 179,11,F000,545*6913 * 08-04-2025 16:49:25.498
Command Sent Rack-10 Picked from J3 - #180,2,2,17564,800,0,0*745f  * 08-04-2025 16:49:25.701
CRC-Response  - 180,2,I001,2*5722 * 08-04-2025 16:49:25.915
5 Secconds Timer increments in Jar J25 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 08-04-2025 16:49:29.624
CRC-Response  - 180,2,F000,2*6873 * 08-04-2025 16:49:33.65
RA Picked Rack From J3 * 08-04-2025 16:49:33.72
Command Sent Rack-10 Placed in J4 - #181,3,2,21194,800,0,0*d31b  * 08-04-2025 16:49:33.652
CRC-Response  - 181,3,I001,2*5eb2 * 08-04-2025 16:49:33.871
5 Secconds Timer increments in Jar J25 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 08-04-2025 16:49:34.628
CRC-Response  - 181,3,F000,2*61e3 * 08-04-2025 16:49:39.472
RA Placed Rack in J4 * 08-04-2025 16:49:39.479
11 Secconds Timer increments in Jar J25 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 08-04-2025 16:49:39.633
Command Sent Rack-6 Picked from J25 - #182,2,2,13934,8590,0,0*5b08  * 08-04-2025 16:49:50.844
CRC-Response  - 182,2,I001,2*9d83 * 08-04-2025 16:49:51.57
CRC-Response  - 182,2,F000,2*a2d2 * 08-04-2025 16:49:57.62
RA Picked Rack From J25 * 08-04-2025 16:49:57.67
Command Sent RA-1 Movement - #183,1,1,64754,800 ,0*96b4  * 08-04-2025 16:49:57.748
CRC-Response  - 183,1,I001,1*4cd2 * 08-04-2025 16:49:57.958
CRC-Response  - 183,1,F000,1*7383 * 08-04-2025 16:49:58.699
RA Moved to assigned Location * 08-04-2025 16:49:58.707
Command Sent Rack-6 Placed in U6 - #184,3,2,42974,16380,0,0*1cab  * 08-04-2025 16:49:59.157
CRC-Response  - 184,3,I001,2*4ea2 * 08-04-2025 16:49:59.365
CRC-Response  - 184,3,F000,2*71f3 * 08-04-2025 16:50:07.818
RA Placed Rack in U6 * 08-04-2025 16:50:07.833
Command Sent RA2 Home Command - #185,5,00111000*af91  * 08-04-2025 16:50:08.91
CRC-Response  - 185,5,I001,00111000*6e89 * 08-04-2025 16:50:08.311
Rack - 6Protocol End Time * 08-04-2025 16:50:08.824
CRC-Response  - 185,5,F000*25a9 * 08-04-2025 16:50:13.903
Command Sent READ TEMPERATURE - #186,5,00111000*ab95  * 08-04-2025 16:50:15.566
CRC-Response  - 186,5,I001,00111000*9e79 * 08-04-2025 16:50:15.780
Command Sent READ TEMPERATURE - #187,11*06be  * 08-04-2025 16:50:15.968
CRC-Response  - 186,5,F000*30e9 * 08-04-2025 16:50:21.14
CRC-Response  - 187,11,F000,447*e9da * 08-04-2025 16:50:21.240
Command Sent READ TEMPERATURE - #188,11*12bd  * 08-04-2025 16:50:30.544
CRC-Response  - 188,11,F000,447*e6ce * 08-04-2025 16:50:30.755
Command Sent READ TEMPERATURE - #189,11*eebc  * 08-04-2025 16:50:45.942
CRC-Response  - 189,11,F000,545*661c * 08-04-2025 16:50:46.157
Command Sent READ TEMPERATURE - #190,11*b282  * 08-04-2025 16:51:02.347
CRC-Response  - 190,11,F000,545*6e01 * 08-04-2025 16:51:02.570
Command Sent Rack-11 Picked from J1 - #191,2,2,10304,800,0,0*0554  * 08-04-2025 16:51:06.179
CRC-Response  - 191,2,I001,2*6e77 * 08-04-2025 16:51:06.392
5 Secconds Timer increments in Jar W6 for R7 as Command Execution under process in other function and timer updated for tmr_r7_incub() * 08-04-2025 16:51:11.137
CRC-Response  - 191,2,F000,2*5126 * 08-04-2025 16:51:12.739
RA Picked Rack From J1 * 08-04-2025 16:51:12.743
Command Sent Rack-11 Placed in J2 - #192,3,2,13934,800,0,0*0294  * 08-04-2025 16:51:13.110
CRC-Response  - 192,3,I001,2*ad46 * 08-04-2025 16:51:13.325
5 Secconds Timer increments in Jar W6 for R7 as Command Execution under process in other function and timer updated for tmr_r7_incub() * 08-04-2025 16:51:16.136
CRC-Response  - 192,3,F000,2*9217 * 08-04-2025 16:51:18.929
RA Placed Rack in J2 * 08-04-2025 16:51:18.941
Command Sent WATER VALVE - 6 CONTROL OFF - #193,13,6,0*c045  * 08-04-2025 16:51:21.311
CRC-Response  - 193,13,F000*e1da * 08-04-2025 16:51:21.524
Command Sent Rack-7 Picked from W6 - #194,2,1,42974,8590,0,0*a9c2  * 08-04-2025 16:51:21.763
CRC-Response  - 194,2,I001,1*7f27 * 08-04-2025 16:51:21.970
CRC-Response  - 194,2,F000,1*4076 * 08-04-2025 16:51:29.628
RA Picked Rack From W6 * 08-04-2025 16:51:29.635
Command Sent RA-2 Movement - #195,1,2,2688,800 ,0*6004  * 08-04-2025 16:51:30.173
CRC-Response  - 195,1,I001,2*ae76 * 08-04-2025 16:51:30.385
CRC-Response  - 195,1,F000,2*9127 * 08-04-2025 16:51:32.498
RA Moved to assigned Location * 08-04-2025 16:51:32.504
Command Sent Rack-7 Dipped in J19 - #196,17,1,35714,8590,1,1,1*08f8  * 08-04-2025 16:51:33.577
CRC-Response  - 196,17,I001,1*3c07 * 08-04-2025 16:51:33.798
CRC-Response  - 196,17,F000,1*0356 * 08-04-2025 16:51:39.598
Command Sent Rack-7 Placed in J20 - #197,3,1,32084,8590,0,0*a9fd  * 08-04-2025 16:51:40.84
CRC-Response  - 197,3,I001,1*bc16 * 08-04-2025 16:51:40.292
CRC-Response  - 197,3,F000,1*8347 * 08-04-2025 16:51:45.914
RA Placed Rack in J20 * 08-04-2025 16:51:45.918
Command Sent RA1 Home Command - #198,5,00000111*80d2  * 08-04-2025 16:51:46.516
CRC-Response  - 198,5,I001,00000111*7ce0 * 08-04-2025 16:51:46.732
CRC-Response  - 198,5,F000*2c65 * 08-04-2025 16:51:47.273
Command Sent WATER VALVE - 2 CONTROL ON - #199,13,2,1*be45  * 08-04-2025 16:51:47.572
CRC-Response  - 199,13,F000*41a4 * 08-04-2025 16:51:47.781
Command Sent RA1 Home Command - #200,5,00000111*952d  * 08-04-2025 16:51:49.51
CRC-Response  - 200,5,I001,00000111*64f0 * 08-04-2025 16:51:49.267
CRC-Response  - 200,5,F000*d5fe * 08-04-2025 16:51:49.279
18 Seconds Timer increments in Jar W1 for R9 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 08-04-2025 16:52:04.379
Command Sent Rack-8 Picked from J8 - #201,2,2,35714,800,0,0*15f4  * 08-04-2025 16:52:04.577
CRC-Response  - 201,2,I001,2*f65d * 08-04-2025 16:52:04.792
CRC-Response  - 201,2,F000,2*c90c * 08-04-2025 16:52:13.680
RA Picked Rack From J8 * 08-04-2025 16:52:13.685
Command Sent RA-1 Movement - #202,1,1,64754,800 ,0*3843  * 08-04-2025 16:52:14.3
CRC-Response  - 202,1,I001,1*edad * 08-04-2025 16:52:14.222
CRC-Response  - 202,1,F000,1*d2fc * 08-04-2025 16:52:15.208
RA Moved to assigned Location * 08-04-2025 16:52:15.227
Command Sent Rack-8 Placed in W2 - #203,3,2,46604,800,0,0*4786  * 08-04-2025 16:52:15.440
CRC-Response  - 203,3,I001,2*f03d * 08-04-2025 16:52:15.660
CRC-Response  - 203,3,F000,2*cf6c * 08-04-2025 16:52:22.68
RA Placed Rack in W2 * 08-04-2025 16:52:22.74
Command Sent RA2 Home Command - #204,5,00111000*2770  * 08-04-2025 16:52:22.375
CRC-Response  - 204,5,I001,00111000*d81e * 08-04-2025 16:52:22.594
5 Seconds Timer increments in Jar W1 for R9 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 08-04-2025 16:52:23.105
CRC-Response  - 204,5,F000*26ff * 08-04-2025 16:52:23.118
Command Sent RA2 Home Command - #205,5,00111000*e48d  * 08-04-2025 16:52:24.824
CRC-Response  - 205,5,I001,00111000*484f * 08-04-2025 16:52:25.32
CRC-Response  - 205,5,F000*ea3e * 08-04-2025 16:52:25.50
Command Sent WATER VALVE - 1 CONTROL OFF - #206,13,1,0*61ae  * 08-04-2025 16:52:28.288
CRC-Response  - 206,13,F000*da3a * 08-04-2025 16:52:28.507
Command Sent Rack-9 Picked from W1 - #207,2,1,42974,800,0,0*e715  * 08-04-2025 16:52:28.697
CRC-Response  - 207,2,I001,1*e8fd * 08-04-2025 16:52:28.909
CRC-Response  - 207,2,F000,1*d7ac * 08-04-2025 16:52:36.558
RA Picked Rack From W1 * 08-04-2025 16:52:36.564
Command Sent RA-2 Movement - #208,1,2,2688,800 ,0*2907  * 08-04-2025 16:52:37.124
CRC-Response  - 208,1,I001,2*cccd * 08-04-2025 16:52:37.337
CRC-Response  - 208,1,F000,2*f39c * 08-04-2025 16:52:38.483
RA Moved to assigned Location * 08-04-2025 16:52:38.497
Command Sent Rack-9 Placed in J8 - #209,3,1,35714,800,0,0*e504  * 08-04-2025 16:52:39.507
CRC-Response  - 209,3,I001,1*d15d * 08-04-2025 16:52:39.716
5 Seconds Timer increments in Jar J4 for R10 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 08-04-2025 16:52:39.905
5 Seconds Timer increments in Jar J4 for R10 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 08-04-2025 16:52:44.909
CRC-Response  - 209,3,F000,1*ee0c * 08-04-2025 16:52:45.744
RA Placed Rack in J8 * 08-04-2025 16:52:45.748
Command Sent RA1 Home Command - #210,5,00000111*142f  * 08-04-2025 16:52:46.451
CRC-Response  - 210,5,I001,00000111*98a1 * 08-04-2025 16:52:46.658
CRC-Response  - 210,5,F000*45f3 * 08-04-2025 16:52:47.211
Command Sent RA1 Home Command - #211,5,00000111*d7d2  * 08-04-2025 16:52:48.879
CRC-Response  - 211,5,I001,00000111*08f0 * 08-04-2025 16:52:49.84
CRC-Response  - 211,5,F000*8932 * 08-04-2025 16:52:49.92
Command Sent Rack-10 Picked from J4 - #212,2,2,21194,800,0,0*ace1  * 08-04-2025 16:52:50.78
CRC-Response  - 212,2,I001,2*05a9 * 08-04-2025 16:52:50.289
CRC-Response  - 212,2,F000,2*3af8 * 08-04-2025 16:52:57.565
RA Picked Rack From J4 * 08-04-2025 16:52:57.575
Command Sent Rack-10 Placed in J5 - #213,3,2,24824,800,0,0*b5de  * 08-04-2025 16:52:58.313
CRC-Response  - 213,3,I001,2*0c39 * 08-04-2025 16:52:58.520
CRC-Response  - 213,3,F000,2*3368 * 08-04-2025 16:53:04.129
RA Placed Rack in J5 * 08-04-2025 16:53:04.135
Command Sent Home Command - #214,5,00111111*36e3  * 08-04-2025 16:53:06.66
CRC-Response  - 214,5,I001,00111111*b4de * 08-04-2025 16:53:06.281
CRC-Response  - 214,5,F000*b6f2 * 08-04-2025 16:53:06.293
Command Sent HEATER DOOR OPEN - #215,8,1,1*68c2  * 08-04-2025 16:53:06.943
CRC-Response  - 215,8,I001*b3f0 * 08-04-2025 16:53:07.149
CRC-Response  - 215,8,F000*6732 * 08-04-2025 16:53:07.505
Command Sent Level Sensing For L1 - #216,4,17564,16380,0,0*4950  * 08-04-2025 16:53:07.818
CRC-Response  - 216,4,I001*6ab0 * 08-04-2025 16:53:08.31
CRC-Response  - 216,4,F000,950*85b4 * 08-04-2025 16:53:16.319
L1 Value - 950 * 08-04-2025 16:53:16.339
Command Sent Level Sensing For L2 - #217,4,13934,16380,0,0*b175  * 08-04-2025 16:53:16.706
CRC-Response  - 217,4,I001*a671 * 08-04-2025 16:53:16.921
CRC-Response  - 217,4,F000,958*8048 * 08-04-2025 16:53:19.212
L2 Value - 958 * 08-04-2025 16:53:19.239
Command Sent Level Sensing For L3 - #218,4,10304,16380,0,0*a93d  * 08-04-2025 16:53:19.611
CRC-Response  - 218,4,I001*e631 * 08-04-2025 16:53:19.826
CRC-Response  - 218,4,F000,958*945c * 08-04-2025 16:53:22.116
L3 Value - 958 * 08-04-2025 16:53:22.143
Command Sent Home Command - #219,5,01111111*251e  * 08-04-2025 16:53:22.520
CRC-Response  - 219,5,I001,01111111*e75a * 08-04-2025 16:53:22.734
CRC-Response  - 219,5,F000*2f33 * 08-04-2025 16:53:22.753
Command Sent Home Command - #220,5,01111111*fa07  * 08-04-2025 16:53:24.502
CRC-Response  - 220,5,I001,01111111*f17c * 08-04-2025 16:53:24.720
CRC-Response  - 220,5,F000*b5e7 * 08-04-2025 16:53:24.741
Rack - 13Protocol Started * 08-04-2025 16:53:25.987
Command Sent Rack-13 Picked from L1 - #221,2,2,17564,16380,0,0*2691  * 08-04-2025 16:53:26.225
CRC-Response  - 221,2,I001,2*4e56 * 08-04-2025 16:53:26.435
CRC-Response  - 221,2,F000,2*7107 * 08-04-2025 16:53:33.605
RA Picked Rack From L1 * 08-04-2025 16:53:33.621
Command Sent Rack-13 Placed in H1 - #222,3,2,2688,1000,0,1*085c  * 08-04-2025 16:53:34.128
CRC-Response  - 222,3,I001,2*8d67 * 08-04-2025 16:53:34.343
CRC-Response  - 222,3,F000,2*b236 * 08-04-2025 16:53:41.227
RA Placed Rack in H1 * 08-04-2025 16:53:41.232
Command Sent HEATER DOOR CLOSE - #223,8,1,0*bd25  * 08-04-2025 16:53:42.127
CRC-Response  - 223,8,I001*6964 * 08-04-2025 16:53:42.343
CRC-Response  - 223,8,F000*bda6 * 08-04-2025 16:53:42.684
Command Sent READ TEMPERATURE - #224,11*7026  * 08-04-2025 16:53:43.13
CRC-Response  - 224,11,F000,545*2046 * 08-04-2025 16:53:43.223
Command Sent READ TEMPERATURE - #225,11*8c27  * 08-04-2025 16:53:58.411
CRC-Response  - 225,11,F000,545*a144 * 08-04-2025 16:53:58.668
Command Sent READ TEMPERATURE - #226,11*c827  * 08-04-2025 16:54:02.202
CRC-Response  - 226,11,F000,447*6391 * 08-04-2025 16:54:02.408
Command Sent READ TEMPERATURE - #227,11*3426  * 08-04-2025 16:54:13.836
CRC-Response  - 227,11,F000,545*e343 * 08-04-2025 16:54:14.46
Command Sent READ TEMPERATURE - #228,11*2025  * 08-04-2025 16:54:30.234
CRC-Response  - 228,11,F000,545*ec57 * 08-04-2025 16:54:30.478
Command Sent READ TEMPERATURE - #229,11*dc24  * 08-04-2025 16:54:45.655
CRC-Response  - 229,11,F000,545*6d55 * 08-04-2025 16:54:45.866
Command Sent Rack-7 Picked from J20 - #230,2,2,32084,8590,0,0*ac80  * 08-04-2025 16:54:47.528
CRC-Response  - 230,2,I001,2*7703 * 08-04-2025 16:54:47.743
CRC-Response  - 230,2,F000,2*4852 * 08-04-2025 16:54:56.232
RA Picked Rack From J20 * 08-04-2025 16:54:56.237
Command Sent Rack-7 Placed in J21 - #231,3,2,28454,8590,0,0*293e  * 08-04-2025 16:54:56.480
CRC-Response  - 231,3,I001,2*7e93 * 08-04-2025 16:54:56.696
CRC-Response  - 231,3,F000,2*41c2 * 08-04-2025 16:55:02.310
RA Placed Rack in J21 * 08-04-2025 16:55:02.321
Command Sent READ TEMPERATURE - #232,11*381b  * 08-04-2025 16:55:06.503
CRC-Response  - 232,11,F000,545*274f * 08-04-2025 16:55:06.716
Command Sent READ TEMPERATURE - #233,11*c41a  * 08-04-2025 16:55:21.878
CRC-Response  - 233,11,F000,545*a64d * 08-04-2025 16:55:22.95
Command Sent WATER VALVE - 2 CONTROL OFF - #234,13,2,0*48cb  * 08-04-2025 16:55:22.373
CRC-Response  - 234,13,F000*b5d3 * 08-04-2025 16:55:22.589
Command Sent Rack-8 Picked from W2 - #235,2,1,46604,800,0,0*6d58  * 08-04-2025 16:55:22.816
CRC-Response  - 235,2,I001,1*6653 * 08-04-2025 16:55:23.37
CRC-Response  - 235,2,F000,1*5902 * 08-04-2025 16:55:30.399
RA Picked Rack From W2 * 08-04-2025 16:55:30.420
Command Sent Rack-8 Dipped in J9 - #236,17,1,39344,800,1,1,1*8ed3  * 08-04-2025 16:55:31.284
CRC-Response  - 236,17,I001,1*e71a * 08-04-2025 16:55:31.492
CRC-Response  - 236,17,F000,1*d84b * 08-04-2025 16:55:37.317
Command Sent Rack-8 Placed in W2 - #237,3,1,46604,800,0,0*4570  * 08-04-2025 16:55:38.296
CRC-Response  - 237,3,I001,1*6033 * 08-04-2025 16:55:38.505
CRC-Response  - 237,3,F000,1*5f62 * 08-04-2025 16:55:44.524
RA Placed Rack in W2 * 08-04-2025 16:55:44.532
Command Sent READ TEMPERATURE - #238,11*e018  * 08-04-2025 16:55:48.372
CRC-Response  - 238,11,F000,545*2d57 * 08-04-2025 16:55:48.582
Command Sent Rack-10 Picked from J5 - #239,2,2,24824,800,0,0*1e6d  * 08-04-2025 16:56:05.735
CRC-Response  - 239,2,I001,2*58d3 * 08-04-2025 16:56:05.957
5 Secconds Timer increments in Jar H2 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 16:56:08.858
CRC-Response  - 239,2,F000,2*6782 * 08-04-2025 16:56:11.742
RA Picked Rack From J5 * 08-04-2025 16:56:11.753
Command Sent Rack-10 Placed in J6 - #240,3,2,28454,800,0,0*3ec8  * 08-04-2025 16:56:12.183
CRC-Response  - 240,3,I001,2*cfd8 * 08-04-2025 16:56:12.390
5 Secconds Timer increments in Jar H2 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 16:56:13.860
CRC-Response  - 240,3,F000,2*f089 * 08-04-2025 16:56:17.997
RA Placed Rack in J6 * 08-04-2025 16:56:18.2
Command Sent HEATER DOOR OPEN - #241,8,1,1*9747  * 08-04-2025 16:56:19.114
CRC-Response  - 241,8,I001*10ce * 08-04-2025 16:56:19.327
5 Secconds Timer increments in Jar J2 for R11 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 08-04-2025 16:56:19.451
CRC-Response  - 241,8,F000*c40c * 08-04-2025 16:56:19.668
Command Sent Rack-12 Picked from H2 - #242,2,2,2688,8700,0,1*5433  * 08-04-2025 16:56:20.2
CRC-Response  - 242,2,I001,2*c9b8 * 08-04-2025 16:56:20.211
5 Secconds Timer increments in Jar J2 for R11 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 08-04-2025 16:56:24.451
CRC-Response  - 242,2,F000,2*f6e9 * 08-04-2025 16:56:28.303
RA Picked Rack From H2 * 08-04-2025 16:56:28.306
Command Sent HEATER DOOR CLOSE - #243,8,1,0*97a5  * 08-04-2025 16:56:28.928
CRC-Response  - 243,8,I001*c94f * 08-04-2025 16:56:29.137
5 Secconds Timer increments in Jar J2 for R11 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 08-04-2025 16:56:29.441
CRC-Response  - 243,8,F000*1d8d * 08-04-2025 16:56:29.478
Command Sent Rack-12 Placed in J1 - #244,3,2,10304,800,0,0*76d7  * 08-04-2025 16:56:29.836
CRC-Response  - 244,3,I001,2*1a99 * 08-04-2025 16:56:30.51
5 Secconds Timer increments in Jar J2 for R11 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 08-04-2025 16:56:34.446
CRC-Response  - 244,3,F000,2*25c8 * 08-04-2025 16:56:36.96
RA Placed Rack in J1 * 08-04-2025 16:56:36.102
Command Sent Rack-11 Picked from J2 - #245,2,2,13934,800,0,0*c96e  * 08-04-2025 16:56:39.621
CRC-Response  - 245,2,I001,2*1309 * 08-04-2025 16:56:39.830
CRC-Response  - 245,2,F000,2*2c58 * 08-04-2025 16:56:45.432
RA Picked Rack From J2 * 08-04-2025 16:56:45.436
Command Sent Rack-11 Placed in J3 - #246,3,2,17564,800,0,0*92a5  * 08-04-2025 16:56:46.71
CRC-Response  - 246,3,I001,2*d038 * 08-04-2025 16:56:46.282
CRC-Response  - 246,3,F000,2*ef69 * 08-04-2025 16:56:51.887
RA Placed Rack in J3 * 08-04-2025 16:56:51.895
Command Sent READ TEMPERATURE - #247,11*34ae  * 08-04-2025 16:56:56.782
CRC-Response  - 247,11,F000,545*e545 * 08-04-2025 16:56:57.0
Command Sent READ TEMPERATURE - #248,11*20ad  * 08-04-2025 16:57:12.187
CRC-Response  - 248,11,F000,545*ea51 * 08-04-2025 16:57:12.401
Command Sent READ TEMPERATURE - #249,11*dcac  * 08-04-2025 16:57:27.569
CRC-Response  - 249,11,F000,545*6b53 * 08-04-2025 16:57:27.913
Command Sent READ TEMPERATURE - #250,11*8092  * 08-04-2025 16:57:43.90
CRC-Response  - 250,11,F000,447*629e * 08-04-2025 16:57:43.297
Command Sent READ TEMPERATURE - #251,11*7c93  * 08-04-2025 16:57:58.480
CRC-Response  - 251,11,F000,545*e24c * 08-04-2025 16:57:58.955
Command Sent Rack-7 Picked from J21 - #252,2,2,28454,8590,0,0*804d  * 08-04-2025 16:58:03.934
CRC-Response  - 252,2,I001,2*35bc * 08-04-2025 16:58:04.143
CRC-Response  - 252,2,F000,2*0aed * 08-04-2025 16:58:10.559
RA Picked Rack From J21 * 08-04-2025 16:58:10.566
Command Sent Rack-7 Placed in J22 - #253,3,2,24824,8590,0,0*053a  * 08-04-2025 16:58:10.862
CRC-Response  - 253,3,I001,2*3c2c * 08-04-2025 16:58:11.72
CRC-Response  - 253,3,F000,2*037d * 08-04-2025 16:58:16.686
RA Placed Rack in J22 * 08-04-2025 16:58:16.689
Command Sent READ TEMPERATURE - #254,11*b093  * 08-04-2025 16:58:20.910
CRC-Response  - 254,11,F000,545*e740 * 08-04-2025 16:58:21.124
Command Sent READ TEMPERATURE - #255,11*4c92  * 08-04-2025 16:58:36.329
CRC-Response  - 255,11,F000,545*6642 * 08-04-2025 16:58:36.616
Command Sent WATER VALVE - 2 CONTROL OFF - #0,13,2,0*731b  * 08-04-2025 16:58:45.236
CRC-Response  - 0,13,F000*29e9 * 08-04-2025 16:58:45.441
Command Sent Rack-8 Picked from W2 - #1,2,1,46604,800,0,0*b481  * 08-04-2025 16:58:45.671
CRC-Response  - 1,2,I001,1*754f * 08-04-2025 16:58:45.887
CRC-Response  - 1,2,F000,1*4a1e * 08-04-2025 16:58:50.978
RA Picked Rack From W2 * 08-04-2025 16:58:50.989
Command Sent Rack-8 Dipped in J18 - #2,17,1,39344,8590,1,1,1*a0b6  * 08-04-2025 16:58:52.147
CRC-Response  - 2,17,I001,1*2e08 * 08-04-2025 16:58:52.355
CRC-Response  - 2,17,F000,1*1159 * 08-04-2025 16:58:58.187
Command Sent Rack-8 Placed in W6 - #3,3,1,42974,8590,0,0*4316  * 08-04-2025 16:58:59.116
CRC-Response  - 3,3,I001,1*732f * 08-04-2025 16:58:59.331
CRC-Response  - 3,3,F000,1*4c7e * 08-04-2025 16:59:04.951
RA Placed Rack in W6 * 08-04-2025 16:59:04.957
Command Sent READ TEMPERATURE - #4,11*991b  * 08-04-2025 16:59:09.223
CRC-Response  - 4,11,F000,545*9384 * 08-04-2025 16:59:09.442
Command Sent Rack-10 Picked from J6 - #5,2,2,28454,800,0,0*3cc8  * 08-04-2025 16:59:18.613
CRC-Response  - 5,2,I001,2*a14e * 08-04-2025 16:59:18.829
CRC-Response  - 5,2,F000,2*9e1f * 08-04-2025 16:59:24.620
RA Picked Rack From J6 * 08-04-2025 16:59:24.633
Command Sent RA-1 Movement - #6,1,1,64754,800 ,0*e424  * 08-04-2025 16:59:25.60
CRC-Response  - 6,1,I001,1*babe * 08-04-2025 16:59:25.272
CRC-Response  - 6,1,F000,1*85ef * 08-04-2025 16:59:28.570
RA Moved to assigned Location * 08-04-2025 16:59:28.574
Command Sent Rack-10 Placed in W1 - #7,3,2,42974,800,0,0*ac6b  * 08-04-2025 16:59:29.472
CRC-Response  - 7,3,I001,2*a72e * 08-04-2025 16:59:29.694
CRC-Response  - 7,3,F000,2*987f * 08-04-2025 16:59:36.502
RA Placed Rack in W1 * 08-04-2025 16:59:36.510
Command Sent RA2 Home Command - #8,5,00111000*36dd  * 08-04-2025 16:59:36.908
CRC-Response  - 8,5,I001,00111000*3cb6 * 08-04-2025 16:59:37.118
CRC-Response  - 8,5,F000*4b3a * 08-04-2025 16:59:37.688
Command Sent RA2 Home Command - #9,5,00111000*f520  * 08-04-2025 16:59:39.362
CRC-Response  - 9,5,I001,00111000*ace7 * 08-04-2025 16:59:39.580
CRC-Response  - 9,5,F000*87fb * 08-04-2025 16:59:39.604
Command Sent READ TEMPERATURE - #10,11*4943  * 08-04-2025 16:59:44.773
CRC-Response  - 10,11,F000,447*0dc2 * 08-04-2025 16:59:44.978
