Command Sent SET TEMPERATURE - #0,10,32*870a  * 07-04-2025 16:26:51.990
Command Sent Rack-1 Placed in J19 - #218,3,1,35714,8590,0,0*1a83  * 07-04-2025 16:57:29.850
CRC-Response  - 218,3,I001,1*e808 * 07-04-2025 16:57:30.63
5 Secconds Timer increments in Jar H1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 16:57:30.68
5 Secconds Timer increments in Jar H1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 16:57:35.75
CRC-Response  - 218,3,F000,1*d759 * 07-04-2025 16:57:36.83
RA Placed Rack in J19 * 07-04-2025 16:57:36.106
Command Sent RA-1 Movement - #219,1,1,64754,800 ,0*e20c  * 07-04-2025 16:57:36.800
CRC-Response  - 219,1,I001,1*f4d8 * 07-04-2025 16:57:37.13
5 Secconds Timer increments in Jar H1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 16:57:40.77
CRC-Response  - 219,1,F000,1*cb89 * 07-04-2025 16:57:41.107
RA Moved to assigned Location * 07-04-2025 16:57:41.113
18 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 16:57:44.663
Command Sent HEATER DOOR OPEN - #220,8,1,1*7dd7  * 07-04-2025 16:57:45.275
CRC-Response  - 220,8,I001*7c24 * 07-04-2025 16:57:45.496
CRC-Response  - 220,8,F000*a8e6 * 07-04-2025 16:57:45.824
Command Sent Rack-5 Picked from H1 - #221,2,2,2688,1000,0,1*dc49  * 07-04-2025 16:57:46.172
CRC-Response  - 221,2,I001,2*4e56 * 07-04-2025 16:57:46.379
CRC-Response  - 221,2,F000,2*7107 * 07-04-2025 16:57:51.540
RA Picked Rack From H1 * 07-04-2025 16:57:51.547
Command Sent HEATER DOOR CLOSE - #222,8,1,0*7d35  * 07-04-2025 16:57:52.143
CRC-Response  - 222,8,I001*a5a5 * 07-04-2025 16:57:52.351
CRC-Response  - 222,8,F000*7167 * 07-04-2025 16:57:52.706
Command Sent Rack-5 Placed in J1 - #223,3,2,10304,800,0,0*64ea  * 07-04-2025 16:57:53.19
CRC-Response  - 223,3,I001,2*4836 * 07-04-2025 16:57:53.232
CRC-Response  - 223,3,F000,2*7767 * 07-04-2025 16:57:59.285
RA Placed Rack in J1 * 07-04-2025 16:57:59.292
Command Sent WATER VALVE - 2 CONTROL OFF - #224,13,2,0*d8c6  * 07-04-2025 16:58:02.843
CRC-Response  - 224,13,F000*7082 * 07-04-2025 16:58:03.51
Command Sent Rack-2 Picked from W2 - #225,2,1,46604,800,0,0*bc65  * 07-04-2025 16:58:03.241
CRC-Response  - 225,2,I001,1*9a57 * 07-04-2025 16:58:03.454
CRC-Response  - 225,2,F000,1*a506 * 07-04-2025 16:58:10.681
RA Picked Rack From W2 * 07-04-2025 16:58:10.685
Command Sent Rack-2 Placed in J9 - #226,3,1,39344,800,0,0*223f  * 07-04-2025 16:58:11.191
CRC-Response  - 226,3,I001,1*5966 * 07-04-2025 16:58:11.407
CRC-Response  - 226,3,F000,1*6637 * 07-04-2025 16:58:17.424
RA Placed Rack in J9 * 07-04-2025 16:58:17.428
Command Sent Rack-4 Picked from J4 - #227,11*3426  * 07-04-2025 16:58:21.409
CRC-Response  - 227,11,F000,545*e343 * 07-04-2025 16:58:21.614
Command Sent Rack-4 Picked from J4 - #228,2,2,21194,800,0,0*463e  * 07-04-2025 16:58:21.823
CRC-Response  - 228,2,I001,2*6186 * 07-04-2025 16:58:22.31
CRC-Response  - 228,2,F000,2*5ed7 * 07-04-2025 16:58:28.448
RA Picked Rack From J4 * 07-04-2025 16:58:28.459
Command Sent Rack-4 Placed in J5 - #229,3,2,24824,800,0,0*5f01  * 07-04-2025 16:58:29.167
CRC-Response  - 229,3,I001,2*6816 * 07-04-2025 16:58:29.379
CRC-Response  - 229,3,F000,2*5747 * 07-04-2025 16:58:34.987
RA Placed Rack in J5 * 07-04-2025 16:58:34.993
Command Sent Rack-1 Picked from J19 - #230,2,2,35714,8590,0,0*bc50  * 07-04-2025 16:58:36.988
CRC-Response  - 230,2,I001,2*7703 * 07-04-2025 16:58:37.198
CRC-Response  - 230,2,F000,2*4852 * 07-04-2025 16:58:43.625
RA Picked Rack From J19 * 07-04-2025 16:58:43.631
Command Sent Rack-1 Placed in J20 - #231,3,2,32084,8590,0,0*81ec  * 07-04-2025 16:58:43.970
CRC-Response  - 231,3,I001,2*7e93 * 07-04-2025 16:58:44.178
CRC-Response  - 231,3,F000,2*41c2 * 07-04-2025 16:58:49.788
RA Placed Rack in J20 * 07-04-2025 16:58:49.803
Command Sent Home Command - #232,5,00111111*7cec  * 07-04-2025 16:58:53.520
CRC-Response  - 232,5,I001,00111111*ad9c * 07-04-2025 16:58:53.775
CRC-Response  - 232,5,F000*fc6b * 07-04-2025 16:58:53.779
Command Sent HEATER DOOR OPEN - #233,8,1,1*b125  * 07-04-2025 16:58:54.467
CRC-Response  - 233,8,I001*f969 * 07-04-2025 16:58:54.688
CRC-Response  - 233,8,F000*2dab * 07-04-2025 16:58:55.26
Rack - 6Protocol Started * 07-04-2025 16:58:55.202
Command Sent Rack-6 Picked from L3 - #234,2,2,10304,16380,0,0*b613  * 07-04-2025 16:58:55.444
CRC-Response  - 234,2,I001,2*a242 * 07-04-2025 16:58:55.661
CRC-Response  - 234,2,F000,2*9d13 * 07-04-2025 16:59:02.132
RA Picked Rack From L3 * 07-04-2025 16:59:02.137
Command Sent Rack-6 Placed in H1 - #235,3,2,2688,1000,0,1*add4  * 07-04-2025 16:59:02.372
CRC-Response  - 235,3,I001,2*abd2 * 07-04-2025 16:59:02.596
CRC-Response  - 235,3,F000,2*9483 * 07-04-2025 16:59:08.985
RA Placed Rack in H1 * 07-04-2025 16:59:08.991
Command Sent WATER VALVE - 2 CONTROL ON - #236,8,1,0*71b1  * 07-04-2025 16:59:09.821
CRC-Response  - 236,8,I001*c6a9 * 07-04-2025 16:59:10.38
Command Sent WATER VALVE - 2 CONTROL ON - #237,13,2,1*9d4a  * 07-04-2025 16:59:10.217
5 Secconds Timer increments in Jar W1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:59:15.223
CRC-Response  - 236,8,F000*126b * 07-04-2025 16:59:15.451
CRC-Response  - 237,13,F000*45c7 * 07-04-2025 16:59:15.476
Command Sent READ TEMPERATURE - #238,11*e018  * 07-04-2025 16:59:15.808
CRC-Response  - 238,11,F000,545*2d57 * 07-04-2025 16:59:16.25
18 Secconds Timer increments in Jar W1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:59:16.230
Command Sent Rack-2 Picked from J9 - #239,2,1,39344,800,0,0*7604  * 07-04-2025 16:59:17.763
CRC-Response  - 239,2,I001,1*5993 * 07-04-2025 16:59:17.969
CRC-Response  - 239,2,F000,1*66c2 * 07-04-2025 16:59:26.157
RA Picked Rack From J9 * 07-04-2025 16:59:26.164
Command Sent Rack-2 Placed in W2 - #240,3,1,46604,800,0,0*8670  * 07-04-2025 16:59:26.737
CRC-Response  - 240,3,I001,1*ce98 * 07-04-2025 16:59:26.945
CRC-Response  - 240,3,F000,1*f1c9 * 07-04-2025 16:59:32.968
RA Placed Rack in W2 * 07-04-2025 16:59:32.974
18 Secconds Timer increments in Jar W1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:59:34.323
Command Sent Rack-1 Picked from J20 - #241,2,2,32084,8590,0,0*cacb  * 07-04-2025 16:59:35.620
CRC-Response  - 241,2,I001,2*c648 * 07-04-2025 16:59:35.827
CRC-Response  - 241,2,F000,2*f919 * 07-04-2025 16:59:44.328
RA Picked Rack From J20 * 07-04-2025 16:59:44.335
Command Sent Rack-1 Placed in J21 - #242,3,2,28454,8590,0,0*ad0c  * 07-04-2025 16:59:44.569
CRC-Response  - 242,3,I001,2*0579 * 07-04-2025 16:59:44.777
CRC-Response  - 242,3,F000,2*3a28 * 07-04-2025 16:59:50.392
RA Placed Rack in J21 * 07-04-2025 16:59:50.400
Command Sent WATER VALVE - 1 CONTROL OFF - #243,13,1,0*9e5c  * 07-04-2025 16:59:52.559
CRC-Response  - 243,13,F000*5f44 * 07-04-2025 16:59:52.773
Command Sent Rack-3 Picked from W1 - #244,2,1,42974,800,0,0*27a0  * 07-04-2025 16:59:52.983
CRC-Response  - 244,2,I001,1*d718 * 07-04-2025 16:59:53.203
CRC-Response  - 244,2,F000,1*e849 * 07-04-2025 16:59:58.806
RA Picked Rack From W1 * 07-04-2025 16:59:58.813
Command Sent RA-2 Movement - #245,1,2,2688,800 ,0*8bd2  * 07-04-2025 16:59:59.489
CRC-Response  - 245,1,I001,2*0649 * 07-04-2025 16:59:59.698
5 Secconds Timer increments in Jar J1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:00:00.44
CRC-Response  - 245,1,F000,2*3918 * 07-04-2025 17:00:03.441
RA Moved to assigned Location * 07-04-2025 17:00:03.445
Command Sent Rack-3 Placed in J8 - #246,3,1,35714,800,0,0*74a2  * 07-04-2025 17:00:03.918
CRC-Response  - 246,3,I001,1*d178 * 07-04-2025 17:00:04.133
5 Secconds Timer increments in Jar J1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:00:05.83
5 Secconds Timer increments in Jar J1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:00:10.89
CRC-Response  - 246,3,F000,1*ee29 * 07-04-2025 17:00:10.146
RA Placed Rack in J8 * 07-04-2025 17:00:10.150
Command Sent RA-1 Movement - #247,1,1,64754,800 ,0*c5a2  * 07-04-2025 17:00:10.364
CRC-Response  - 247,1,I001,1*cda8 * 07-04-2025 17:00:10.574
CRC-Response  - 247,1,F000,1*f2f9 * 07-04-2025 17:00:14.681
RA Moved to assigned Location * 07-04-2025 17:00:14.685
Command Sent Rack-5 Picked from J1 - #248,2,2,10304,800,0,0*b795  * 07-04-2025 17:00:15.283
CRC-Response  - 248,2,I001,2*e998 * 07-04-2025 17:00:15.496
CRC-Response  - 248,2,F000,2*d6c9 * 07-04-2025 17:00:21.551
RA Picked Rack From J1 * 07-04-2025 17:00:21.557
Command Sent Rack-5 Placed in J2 - #249,3,2,13934,800,0,0*082c  * 07-04-2025 17:00:22.273
CRC-Response  - 249,3,I001,2*e008 * 07-04-2025 17:00:22.492
CRC-Response  - 249,3,F000,2*df59 * 07-04-2025 17:00:28.92
RA Placed Rack in J2 * 07-04-2025 17:00:28.95
Command Sent READ TEMPERATURE - #250,11*8092  * 07-04-2025 17:00:33.102
CRC-Response  - 250,11,F000,545*634e * 07-04-2025 17:00:33.314
18 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:00:33.672
Command Sent Rack-4 Picked from J5 - #251,2,2,24824,800,0,0*1907  * 07-04-2025 17:00:36.105
CRC-Response  - 251,2,I001,2*3a4c * 07-04-2025 17:00:36.315
CRC-Response  - 251,2,F000,2*051d * 07-04-2025 17:00:42.738
RA Picked Rack From J5 * 07-04-2025 17:00:42.743
Command Sent Rack-4 Placed in J6 - #252,3,2,28454,800,0,0*578c  * 07-04-2025 17:00:43.92
CRC-Response  - 252,3,I001,2*f97d * 07-04-2025 17:00:43.304
CRC-Response  - 252,3,F000,2*c62c * 07-04-2025 17:00:48.916
RA Placed Rack in J6 * 07-04-2025 17:00:48.923
Command Sent Rack-1 Picked from J21 - #253,2,2,28454,8590,0,0*5170  * 07-04-2025 17:00:51.176
CRC-Response  - 253,2,I001,2*f0ed * 07-04-2025 17:00:51.384
5 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:00:51.740
5 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:00:56.776
CRC-Response  - 253,2,F000,2*cfbc * 07-04-2025 17:00:57.174
RA Picked Rack From J21 * 07-04-2025 17:00:57.180
Command Sent Rack-1 Placed in J22 - #254,3,2,24824,8590,0,0*b28f  * 07-04-2025 17:00:57.667
CRC-Response  - 254,3,I001,2*e69d * 07-04-2025 17:00:57.887
5 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:01:01.782
CRC-Response  - 254,3,F000,2*d9cc * 07-04-2025 17:01:03.485
RA Placed Rack in J22 * 07-04-2025 17:01:03.491
Command Sent WATER VALVE - 2 CONTROL OFF - #255,13,2,0*2421  * 07-04-2025 17:01:06.943
CRC-Response  - 255,13,F000*3a3e * 07-04-2025 17:01:07.157
Command Sent Rack-2 Picked from W2 - #0,2,1,46604,800,0,0*48bc  * 07-04-2025 17:01:07.353
CRC-Response  - 0,2,I001,1*b01e * 07-04-2025 17:01:07.574
CRC-Response  - 0,2,F000,1*8f4f * 07-04-2025 17:01:14.804
RA Picked Rack From W2 * 07-04-2025 17:01:14.815
Command Sent Rack-2 Placed in J18 - #1,3,1,39344,8590,0,0*b164  * 07-04-2025 17:01:15.334
CRC-Response  - 1,3,I001,1*b98e * 07-04-2025 17:01:15.546
CRC-Response  - 1,3,F000,1*86df * 07-04-2025 17:01:21.568
RA Placed Rack in J18 * 07-04-2025 17:01:21.573
Command Sent READ TEMPERATURE - #2,11*111b  * 07-04-2025 17:01:25.999
CRC-Response  - 2,11,F000,545*558d * 07-04-2025 17:01:26.206
Command Sent READ TEMPERATURE - #3,11*ed1a  * 07-04-2025 17:01:41.364
CRC-Response  - 3,11,F000,545*d48f * 07-04-2025 17:01:41.588
Command Sent READ TEMPERATURE - #4,11*991b  * 07-04-2025 17:01:57.747
CRC-Response  - 4,11,F000,545*9384 * 07-04-2025 17:01:57.958
Command Sent Rack-1 Picked from J22 - #5,2,2,24824,8590,0,0*e76c  * 07-04-2025 17:02:04.259
CRC-Response  - 5,2,I001,2*a14e * 07-04-2025 17:02:04.484
CRC-Response  - 5,2,F000,2*9e1f * 07-04-2025 17:02:09.561
RA Picked Rack From J22 * 07-04-2025 17:02:09.566
Command Sent Rack-1 Placed in J23 - #6,3,2,21194,8590,0,0*154c  * 07-04-2025 17:02:10.182
CRC-Response  - 6,3,I001,2*627f * 07-04-2025 17:02:10.396
CRC-Response  - 6,3,F000,2*5d2e * 07-04-2025 17:02:16.0
RA Placed Rack in J23 * 07-04-2025 17:02:16.5
Command Sent WATER VALVE - 6 CONTROL ON - #7,13,6,1*94da  * 07-04-2025 17:02:17.174
CRC-Response  - 7,13,F000*19cf * 07-04-2025 17:02:17.385
Command Sent Rack-2 Picked from J18 - #8,2,1,39344,8590,0,0*d5e9  * 07-04-2025 17:02:22.55
CRC-Response  - 8,2,I001,1*5a9f * 07-04-2025 17:02:22.276
CRC-Response  - 8,2,F000,1*65ce * 07-04-2025 17:02:27.357
RA Picked Rack From J18 * 07-04-2025 17:02:27.360
Command Sent Rack-2 Placed in W6 - #9,3,1,42974,8590,0,0*e88e  * 07-04-2025 17:02:27.995
CRC-Response  - 9,3,I001,1*530f * 07-04-2025 17:02:28.204
5 Secconds Timer increments in Jar J2 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:02:28.916
CRC-Response  - 9,3,F000,1*6c5e * 07-04-2025 17:02:33.820
RA Placed Rack in W6 * 07-04-2025 17:02:33.823
11 Secconds Timer increments in Jar J2 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:02:33.909
Command Sent WATER VALVE - 1 CONTROL ON - #10,13,1,1*d939  * 07-04-2025 17:02:34.958
CRC-Response  - 10,13,F000*e4c2 * 07-04-2025 17:02:35.164
Command Sent Rack-5 Picked from J2 - #11,2,2,13934,800,0,0*bd7a  * 07-04-2025 17:02:45.78
CRC-Response  - 11,2,I001,2*6b82 * 07-04-2025 17:02:45.294
5 Secconds Timer increments in Jar J6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:02:49.595
CRC-Response  - 11,2,F000,2*54d3 * 07-04-2025 17:02:51.324
RA Picked Rack From J2 * 07-04-2025 17:02:51.329
Command Sent Rack-5 Placed in J4 - #12,3,2,21194,800,0,0*2d99  * 07-04-2025 17:02:52.41
CRC-Response  - 12,3,I001,2*a8b3 * 07-04-2025 17:02:52.255
5 Secconds Timer increments in Jar J6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:02:54.622
CRC-Response  - 12,3,F000,2*97e2 * 07-04-2025 17:02:58.267
RA Placed Rack in J4 * 07-04-2025 17:02:58.274
Command Sent WATER VALVE - 2 CONTROL ON - #13,13,2,1*cc89  * 07-04-2025 17:02:59.55
CRC-Response  - 13,13,F000*14d6 * 07-04-2025 17:02:59.268
Command Sent Rack-4 Picked from J6 - #14,2,2,28454,800,0,0*da8d  * 07-04-2025 17:02:59.795
CRC-Response  - 14,2,I001,2*7b92 * 07-04-2025 17:03:00.10
CRC-Response  - 14,2,F000,2*44c3 * 07-04-2025 17:03:06.8
RA Picked Rack From J6 * 07-04-2025 17:03:06.15
Command Sent RA-1 Movement - #15,1,1,64754,800 ,0*98f3  * 07-04-2025 17:03:06.272
CRC-Response  - 15,1,I001,1*aac3 * 07-04-2025 17:03:06.483
CRC-Response  - 15,1,F000,1*9592 * 07-04-2025 17:03:09.777
RA Moved to assigned Location * 07-04-2025 17:03:09.784
11 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:03:10.670
Command Sent Rack-4 Placed in W1 - #16,3,2,42974,800,0,0*4a2e  * 07-04-2025 17:03:10.676
CRC-Response  - 16,3,I001,2*7df2 * 07-04-2025 17:03:10.884
5 Seconds Timer increments in Jar J23 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 17:03:16.649
CRC-Response  - 16,3,F000,2*42a3 * 07-04-2025 17:03:17.712
RA Placed Rack in W1 * 07-04-2025 17:03:17.717
Command Sent RA-2 Movement - #17,1,2,2688,800 ,0*5a00  * 07-04-2025 17:03:18.165
CRC-Response  - 17,1,I001,2*6122 * 07-04-2025 17:03:18.378
5 Seconds Timer increments in Jar J23 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 17:03:21.662
5 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:03:21.727
CRC-Response  - 17,1,F000,2*5e73 * 07-04-2025 17:03:23.729
RA Moved to assigned Location * 07-04-2025 17:03:23.737
11 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:03:26.867
Command Sent Rack-1 Picked from J23 - #18,2,2,21194,8590,0,0*e46e  * 07-04-2025 17:03:26.869
CRC-Response  - 18,2,I001,2*4452 * 07-04-2025 17:03:27.79
CRC-Response  - 18,2,F000,2*7b03 * 07-04-2025 17:03:34.358
RA Picked Rack From J23 * 07-04-2025 17:03:34.365
18 Seconds Timer increments in Jar W6 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:03:34.411
Command Sent Rack-1 Placed in J24 - #19,3,2,17564,8590,0,0*d7c9  * 07-04-2025 17:03:34.812
CRC-Response  - 19,3,I001,2*4dc2 * 07-04-2025 17:03:35.20
5 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:03:37.859
CRC-Response  - 19,3,F000,2*7293 * 07-04-2025 17:03:40.639
RA Placed Rack in J24 * 07-04-2025 17:03:40.645
Command Sent Rack-3 Picked from J8 - #20,2,2,35714,800,0,0*1a99  * 07-04-2025 17:03:43.42
CRC-Response  - 20,2,I001,2*eadc * 07-04-2025 17:03:43.257
CRC-Response  - 20,2,F000,2*d58d * 07-04-2025 17:03:50.478
RA Picked Rack From J8 * 07-04-2025 17:03:50.491
Command Sent RA-1 Movement - #21,1,1,64754,800 ,0*edf6  * 07-04-2025 17:03:50.991
CRC-Response  - 21,1,I001,1*3b8d * 07-04-2025 17:03:51.201
CRC-Response  - 21,1,F000,1*04dc * 07-04-2025 17:03:51.943
RA Moved to assigned Location * 07-04-2025 17:03:51.947
Command Sent Rack-3 Placed in W2 - #22,3,2,46604,800,0,0*48eb  * 07-04-2025 17:03:52.377
CRC-Response  - 22,3,I001,2*ecbc * 07-04-2025 17:03:52.590
5 Seconds Timer increments in Jar W6 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:03:52.596
5 Seconds Timer increments in Jar W6 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:03:57.609
CRC-Response  - 22,3,F000,2*d3ed * 07-04-2025 17:03:59.2
RA Placed Rack in W2 * 07-04-2025 17:03:59.7
Command Sent RA-2 Movement - #23,1,2,2688,800 ,0*dfb2  * 07-04-2025 17:03:59.307
CRC-Response  - 23,1,I001,2*f06c * 07-04-2025 17:03:59.525
5 Seconds Timer increments in Jar W6 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:04:02.633
CRC-Response  - 23,1,F000,2*cf3d * 07-04-2025 17:04:05.276
RA Moved to assigned Location * 07-04-2025 17:04:05.282
Command Sent WATER VALVE - 6 CONTROL OFF - #24,13,6,0*db5c  * 07-04-2025 17:04:07.825
CRC-Response  - 24,13,F000*2b00 * 07-04-2025 17:04:08.36
Command Sent Rack-2 Picked from W6 - #25,2,1,42974,8590,0,0*c8e6  * 07-04-2025 17:04:08.242
CRC-Response  - 25,2,I001,1*fb8c * 07-04-2025 17:04:08.449
5 Secconds Timer increments in Jar H1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:04:09.856
5 Secconds Timer increments in Jar H1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:04:14.866
CRC-Response  - 25,2,F000,1*c4dd * 07-04-2025 17:04:16.105
RA Picked Rack From W6 * 07-04-2025 17:04:16.120
Command Sent RA-2 Movement - #26,1,2,2688,800 ,0*8ea1  * 07-04-2025 17:04:16.667
CRC-Response  - 26,1,I001,2*e07c * 07-04-2025 17:04:16.876
CRC-Response  - 26,1,F000,2*df2d * 07-04-2025 17:04:17.614
RA Moved to assigned Location * 07-04-2025 17:04:17.620
Command Sent Rack-2 Placed in J19 - #27,3,1,35714,8590,0,0*0934  * 07-04-2025 17:04:18.67
CRC-Response  - 27,3,I001,1*fdec * 07-04-2025 17:04:18.277
5 Secconds Timer increments in Jar H1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:04:19.865
CRC-Response  - 27,3,F000,1*c2bd * 07-04-2025 17:04:24.297
RA Placed Rack in J19 * 07-04-2025 17:04:24.301
11 Secconds Timer increments in Jar H1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:04:24.982
Command Sent RA-1 Movement - #28,1,1,64754,800 ,0*7325  * 07-04-2025 17:04:24.986
CRC-Response  - 28,1,I001,1*145d * 07-04-2025 17:04:25.192
CRC-Response  - 28,1,F000,1*2b0c * 07-04-2025 17:04:29.308
RA Moved to assigned Location * 07-04-2025 17:04:29.314
Command Sent HEATER DOOR OPEN - #29,8,1,1*e749  * 07-04-2025 17:04:36.139
CRC-Response  - 29,8,I001*d43f * 07-04-2025 17:04:36.350
CRC-Response  - 29,8,F000*00fd * 07-04-2025 17:04:36.689
Command Sent Rack-6 Picked from H1 - #30,2,2,2688,1000,0,1*e060  * 07-04-2025 17:04:37.48
CRC-Response  - 30,2,I001,2*16d8 * 07-04-2025 17:04:37.261
CRC-Response  - 30,2,F000,2*2989 * 07-04-2025 17:04:42.416
RA Picked Rack From H1 * 07-04-2025 17:04:42.422
Command Sent HEATER DOOR CLOSE - #31,8,1,0*2bc0  * 07-04-2025 17:04:43.7
CRC-Response  - 31,8,I001*e233 * 07-04-2025 17:04:43.214
CRC-Response  - 31,8,F000*36f1 * 07-04-2025 17:04:43.568
Command Sent Rack-6 Placed in J1 - #32,3,2,10304,800,0,0*58c3  * 07-04-2025 17:04:43.919
CRC-Response  - 32,3,I001,2*10b8 * 07-04-2025 17:04:44.139
CRC-Response  - 32,3,F000,2*2fe9 * 07-04-2025 17:04:50.188
RA Placed Rack in J1 * 07-04-2025 17:04:50.195
Command Sent READ TEMPERATURE - #33,11*cd3a  * 07-04-2025 17:04:54.672
CRC-Response  - 33,11,F000,545*0d14 * 07-04-2025 17:04:54.880
Command Sent Rack-5 Picked from J4 - #34,2,2,21194,800,0,0*d739  * 07-04-2025 17:04:58.836
CRC-Response  - 34,2,I001,2*c399 * 07-04-2025 17:04:59.45
5 Secconds Timer increments in Jar W2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:04:59.247
5 Secconds Timer increments in Jar W2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:05:04.283
CRC-Response  - 34,2,F000,2*fcc8 * 07-04-2025 17:05:05.459
RA Picked Rack From J4 * 07-04-2025 17:05:05.466
Command Sent Rack-5 Placed in J5 - #35,3,2,24824,800,0,0*ce06  * 07-04-2025 17:05:05.847
CRC-Response  - 35,3,I001,2*ca09 * 07-04-2025 17:05:06.61
5 Secconds Timer increments in Jar W2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:05:09.287
CRC-Response  - 35,3,F000,2*f558 * 07-04-2025 17:05:11.671
RA Placed Rack in J5 * 07-04-2025 17:05:11.679
Command Sent WATER VALVE - 2 CONTROL OFF - #36,13,2,0*5391  * 07-04-2025 17:05:14.495
CRC-Response  - 36,13,F000*8e48 * 07-04-2025 17:05:14.709
Command Sent Rack-3 Picked from W2 - #37,2,1,46604,800,0,0*c408  * 07-04-2025 17:05:14.889
CRC-Response  - 37,2,I001,1*cd29 * 07-04-2025 17:05:15.110
5 Secconds Timer increments in Jar W1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:05:18.245
CRC-Response  - 37,2,F000,1*f278 * 07-04-2025 17:05:22.345
RA Picked Rack From W2 * 07-04-2025 17:05:22.349
Command Sent Rack-3 Placed in J9 - #38,3,1,39344,800,0,0*0b41  * 07-04-2025 17:05:22.812
CRC-Response  - 38,3,I001,1*31d8 * 07-04-2025 17:05:23.32
5 Secconds Timer increments in Jar W1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:05:23.253
5 Seconds Timer increments in Jar J19 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:05:24.980
5 Secconds Timer increments in Jar W1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:05:28.283
CRC-Response  - 38,3,F000,1*0e89 * 07-04-2025 17:05:29.51
RA Placed Rack in J9 * 07-04-2025 17:05:29.56
Command Sent Rack-2 Picked from J19 - #39,2,2,35714,8590,0,0*fa5c  * 07-04-2025 17:05:30.258
CRC-Response  - 39,2,I001,2*3908 * 07-04-2025 17:05:30.464
5 Secconds Timer increments in Jar W1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:05:33.281
CRC-Response  - 39,2,F000,2*0659 * 07-04-2025 17:05:36.899
RA Picked Rack From J19 * 07-04-2025 17:05:36.904
Command Sent Rack-2 Placed in J20 - #40,3,2,32084,8590,0,0*3977  * 07-04-2025 17:05:37.236
CRC-Response  - 40,3,I001,2*ae03 * 07-04-2025 17:05:37.455
5 Secconds Timer increments in Jar W1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:05:38.278
