Command Sent SET TEMPERATURE - #0,10,32*870a  * 24-03-2025 13:52:31.636
Command Sent Rack-4 Picked from J2 - #240,2,1,13934,800 ,0,0*cb1a  * 24-03-2025 14:24:30.298
CRC-Response  - 240,2,I001,1*0259 * 24-03-2025 14:24:30.509
CRC-Response  - 240,2,F000,1*3d08 * 24-03-2025 14:24:39.341
RA Picked Rack From J2 * 24-03-2025 14:24:39.346
Command Sent Rack-4 Placed in J4 - #241,3,1,21194,800 ,0,0*a0b2  * 24-03-2025 14:24:39.779
CRC-Response  - 241,3,I001,1*0bc9 * 24-03-2025 14:24:39.993
11 Secconds Timer increments in Jar W1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:24:40.107
CRC-Response  - 241,3,F000,1*3498 * 24-03-2025 14:24:45.997
RA Placed Rack in J4 * 24-03-2025 14:24:46.3
Command Sent Rack-1 Picked from J20 - #242,13,1,0*529d  * 24-03-2025 14:24:51.308
CRC-Response  - 242,13,F000*cf49 * 24-03-2025 14:24:51.521
Command Sent Rack-3 Picked from W1 - #243,2,1,32084,8590,0,0*d9f2  * 24-03-2025 14:24:51.701
CRC-Response  - 243,2,I001,1*0da9 * 24-03-2025 14:24:51.908
Command Sent Rack-3 Picked from W1 - #244,2,1,42974,800 ,0,0*fbf9  * 24-03-2025 14:24:52.86
CRC-Response  - 244,2,F005,1*e959 * 24-03-2025 14:24:52.294
CRC-Response  - 244,2,F000,1*e849 * 24-03-2025 14:24:58.340
RA Picked Rack From W1 * 24-03-2025 14:24:58.344
Command Sent Rack-3 Placed in J8 - #245,3,1,35714,800 ,0,0*096f  * 24-03-2025 14:24:58.791
CRC-Response  - 245,3,I001,1*de88 * 24-03-2025 14:24:59.2
CRC-Response  - 245,3,F000,1*e1d9 * 24-03-2025 14:25:04.799
RA Placed Rack in J8 * 24-03-2025 14:25:04.803
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:25:23.304
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:25:34.332
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:25:45.362
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:25:56.441
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:26:07.458
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:26:18.558
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:26:29.670
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:26:40.717
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:26:46.335
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:26:51.719
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:26:57.350
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:27:02.722
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:27:08.391
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:27:13.760
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:27:19.406
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:27:24.806
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:27:30.429
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:27:35.890
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:27:41.471
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:27:46.892
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:27:52.465
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:27:57.986
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:28:03.514
11 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:28:05.528
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:28:09.26
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:28:14.573
11 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:28:16.600
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:28:19.40
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:28:25.613
11 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:28:27.642
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:28:30.89
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:28:36.642
11 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:28:38.661
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:28:41.123
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:28:47.663
11 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:28:49.727
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:28:52.140
11 Secconds Timer increments in Jar J4 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 24-03-2025 14:28:58.710
11 Secconds Timer increments in Jar J8 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 24-03-2025 14:29:00.785
11 Seconds Timer increments in Jar W2 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 24-03-2025 14:29:03.145
User Aborted / Stopped the application forcefully  * 24-03-2025 14:29:03.440
Command Sent WATER VALVE - 1 CONTROL OFF - #246,13,1,0*a19c  * 24-03-2025 14:29:06.698
CRC-Response  - 246,13,F000*0f7b * 24-03-2025 14:29:07.5
Command Sent WATER VALVE - 3 CONTROL ON - #247,13,3,1*6d3d  * 24-03-2025 14:29:07.679
CRC-Response  - 247,13,F000*9f76 * 24-03-2025 14:29:07.896
Command Sent WATER VALVE - 4 CONTROL ON - #248,13,4,1*eccc  * 24-03-2025 14:29:08.564
CRC-Response  - 248,13,F000*6f37 * 24-03-2025 14:29:08.776
Command Sent WATER VALVE - 5 CONTROL ON - #249,13,5,1*e05c  * 24-03-2025 14:29:09.424
CRC-Response  - 249,13,F000*ff3a * 24-03-2025 14:29:09.639
Command Sent WATER VALVE - 6 CONTROL ON - #250,13,6,1*1a61  * 24-03-2025 14:29:10.293
CRC-Response  - 250,13,F000*6a01 * 24-03-2025 14:29:10.503
Command Sent Home Command - #251,5,00100100*d21d  * 24-03-2025 14:29:11.172
CRC-Response  - 251,5,I001,00100100*b870 * 24-03-2025 14:29:11.385
CRC-Response  - 251,5,F000*4900 * 24-03-2025 14:29:11.394
Command Sent Home Command - #252,5,01111111*7af5  * 24-03-2025 14:29:14.61
CRC-Response  - 252,5,I001,01111111*e46c * 24-03-2025 14:29:14.273
CRC-Response  - 252,5,F000*5c40 * 24-03-2025 14:29:14.278
Command Sent Home Command - #253,5,01111111*b908  * 24-03-2025 14:29:16.972
CRC-Response  - 253,5,I001,01111111*743d * 24-03-2025 14:29:17.188
CRC-Response  - 253,5,F000*9081 * 24-03-2025 14:29:17.192
Command Sent Level Sensing For U1 - #254,4,61124,16380,0,0*3a66  * 24-03-2025 14:29:19.359
CRC-Response  - 254,4,I001*7303 * 24-03-2025 14:29:19.573
CRC-Response  - 254,4,F000,975*a582 * 24-03-2025 14:29:23.699
U1 Value - 200 * 24-03-2025 14:29:23.720
Command Sent Level Sensing For U2 - #255,4,57494,16380,0,0*1ff7  * 24-03-2025 14:29:24.258
CRC-Response  - 255,4,I001*bfc2 * 24-03-2025 14:29:24.471
CRC-Response  - 255,4,F000,966*f73e * 24-03-2025 14:29:26.754
U2 Value - 200 * 24-03-2025 14:29:26.780
Command Sent Level Sensing For U3 - #0,4,53864,16380,0,0*409b  * 24-03-2025 14:29:27.161
CRC-Response  - 0,4,I001*e8f8 * 24-03-2025 14:29:27.372
CRC-Response  - 0,4,F000,986*9f87 * 24-03-2025 14:29:29.648
U3 Value - 200 * 24-03-2025 14:29:29.670
Command Sent Level Sensing For U4 - #1,4,50234,16380,0,0*b9b1  * 24-03-2025 14:29:30.33
CRC-Response  - 1,4,I001*2439 * 24-03-2025 14:29:30.247
CRC-Response  - 1,4,F000,988*98fb * 24-03-2025 14:29:32.530
U4 Value - 200 * 24-03-2025 14:29:32.553
Command Sent Level Sensing For U5 - #2,4,46604,16380,0,0*7b38  * 24-03-2025 14:29:32.901
CRC-Response  - 2,4,I001*3179 * 24-03-2025 14:29:33.116
CRC-Response  - 2,4,F000,985*593e * 24-03-2025 14:29:35.393
U5 Value - 200 * 24-03-2025 14:29:35.403
Command Sent Level Sensing For U6 - #3,4,42974,16380,0,0*87e1  * 24-03-2025 14:29:35.782
CRC-Response  - 3,4,I001*fdb8 * 24-03-2025 14:29:35.998
CRC-Response  - 3,4,F000,994*ca03 * 24-03-2025 14:29:38.269
U6 Value - 200 * 24-03-2025 14:29:38.285
Command Sent READ TEMPERATURE - #4,11*991b  * 24-03-2025 14:29:40.712
CRC-Response  - 4,11,F000,545*9384 * 24-03-2025 14:29:40.929
Command Sent WATER VALVE - 1 CONTROL OFF - #5,13,1,0*4c2b  * 24-03-2025 14:29:51.109
CRC-Response  - 5,13,F000*79d6 * 24-03-2025 14:29:51.322
Command Sent WATER VALVE - 2 CONTROL OFF - #6,13,2,0*599b  * 24-03-2025 14:29:52.7
CRC-Response  - 6,13,F000*89c2 * 24-03-2025 14:29:52.219
Command Sent WATER VALVE - 3 CONTROL OFF - #7,13,3,0*550b  * 24-03-2025 14:29:52.868
CRC-Response  - 7,13,F000*19cf * 24-03-2025 14:29:53.80
Command Sent WATER VALVE - 4 CONTROL OFF - #8,13,4,0*d4fa  * 24-03-2025 14:29:53.751
CRC-Response  - 8,13,F000*e98e * 24-03-2025 14:29:53.965
Command Sent WATER VALVE - 5 CONTROL OFF - #9,13,5,0*d86a  * 24-03-2025 14:29:54.635
CRC-Response  - 9,13,F000*7983 * 24-03-2025 14:29:54.843
Command Sent WATER VALVE - 6 CONTROL OFF - #10,13,6,0*d849  * 24-03-2025 14:29:55.499
CRC-Response  - 10,13,F000*e4c2 * 24-03-2025 14:29:55.711
Command Sent READ TEMPERATURE - #11,11*b542  * 24-03-2025 14:30:16.239
CRC-Response  - 11,11,F000,545*8d10 * 24-03-2025 14:30:16.520
Command Sent READ TEMPERATURE - #12,11*f142  * 24-03-2025 14:30:26.705
CRC-Response  - 12,11,F000,545*4e15 * 24-03-2025 14:30:26.915
Command Sent READ TEMPERATURE - #13,11*0d43  * 24-03-2025 14:30:37.88
CRC-Response  - 13,11,F000,545*cf17 * 24-03-2025 14:30:37.306
Command Sent READ TEMPERATURE - #14,11*7942  * 24-03-2025 14:30:47.471
CRC-Response  - 14,11,F000,545*881c * 24-03-2025 14:30:47.684
Command Sent READ TEMPERATURE - #15,11*8543  * 24-03-2025 14:30:57.853
CRC-Response  - 15,11,F000,545*091e * 24-03-2025 14:30:58.64
Command Sent READ TEMPERATURE - #16,11*c143  * 24-03-2025 14:31:08.222
CRC-Response  - 16,11,F000,545*ca1b * 24-03-2025 14:31:08.436
Command Sent READ TEMPERATURE - #17,11*3d42  * 24-03-2025 14:31:18.605
CRC-Response  - 17,11,F000,545*4b19 * 24-03-2025 14:31:18.821
Command Sent READ TEMPERATURE - #18,11*2941  * 24-03-2025 14:31:29.0
CRC-Response  - 18,11,F000,545*440d * 24-03-2025 14:31:29.216
Command Sent READ TEMPERATURE - #19,11*d540  * 24-03-2025 14:31:39.374
CRC-Response  - 19,11,F000,545*c50f * 24-03-2025 14:31:39.582
Command Sent READ TEMPERATURE - #20,11*4907  * 24-03-2025 14:31:49.753
CRC-Response  - 20,11,F000,545*0f11 * 24-03-2025 14:31:49.967
Command Sent READ TEMPERATURE - #21,11*b506  * 24-03-2025 14:32:00.132
CRC-Response  - 21,11,F000,545*8e13 * 24-03-2025 14:32:00.345
Command * DOOR STATUS - #0,9*1dad
 * 24-03-2025 14:41:53.79
Response  - 0,9,F000,11*107c * 24-03-2025 14:41:53.252
Command * Home Command - #1,5,01111111*7a40
 * 24-03-2025 14:41:58.414
Response  - 1,5,I001,01111111*3ee1 * 24-03-2025 14:41:58.574
Response  - 1,5,F000*21fa * 24-03-2025 14:41:58.589
Command * CLOSE HEATER DOOR - #2,8,1,0*21eb
 * 24-03-2025 14:42:05.609
Response  - 2,8,I001*fd79 * 24-03-2025 14:42:05.779
Response  - 2,8,F000*29bb * 24-03-2025 14:42:06.151
Command * OPEN HEATER DOOR - #3,8,1,1*213a
 * 24-03-2025 14:42:10.742
Response  - 3,8,I001*31b8 * 24-03-2025 14:42:10.899
Response  - 3,8,F000*e57a * 24-03-2025 14:42:11.255
Command * CLOSE HEATER DOOR - #4,8,1,0*218d
 * 24-03-2025 14:42:15.198
Response  - 4,8,I001*d7f9 * 24-03-2025 14:42:15.360
Response  - 4,8,F000*033b * 24-03-2025 14:42:15.697
Command * OPEN HEATER DOOR - #5,8,1,1*215c
 * 24-03-2025 14:42:17.546
Response  - 5,8,I001*1b38 * 24-03-2025 14:42:17.703
Response  - 5,8,F000*cffa * 24-03-2025 14:42:18.60
Command * DOOR STATUS - #6,9*1c4d
 * 24-03-2025 14:42:30.965
Response  - 6,9,F000,11*9862 * 24-03-2025 14:42:31.127
Command * Home Command - #7,5,01111111*7248
 * 24-03-2025 14:42:44.25
Response  - 7,5,I001,01111111*9f02 * 24-03-2025 14:42:44.202
Response  - 7,5,F000*0b7a * 24-03-2025 14:42:44.216
Command * Home Command - #8,5,01111111*665c
 * 24-03-2025 14:42:45.916
Response  - 8,5,I001,01111111*6c37 * 24-03-2025 14:42:46.81
Response  - 8,5,F000*4b3a * 24-03-2025 14:42:46.96
Command * Home Command - #9,5,01111111*a5a1
 * 24-03-2025 14:42:47.533
Response  - 9,5,I001,01111111*fc66 * 24-03-2025 14:42:47.701
Response  - 9,5,F000*87fb * 24-03-2025 14:42:47.718
Command * Home Command - #10,5,01111111*2199
 * 24-03-2025 14:42:49.36
Response  - 10,5,I001,01111111*c9ef * 24-03-2025 14:42:49.203
Response  - 10,5,F000*8728 * 24-03-2025 14:42:49.217
Command * CLOSE HEATER DOOR - #11,8,1,0*f241
 * 24-03-2025 14:42:53.490
Response  - 11,8,I001*822a * 24-03-2025 14:42:53.652
Response  - 11,8,F000*56e8 * 24-03-2025 14:42:53.993
Command * OPEN HEATER DOOR - #12,8,1,1*32b3
 * 24-03-2025 14:42:58.75
Response  - 12,8,I001*976a * 24-03-2025 14:42:58.247
Response  - 12,8,F000*43a8 * 24-03-2025 14:42:58.587
Command * CLOSE HEATER DOOR - #13,8,1,0*3262
 * 24-03-2025 14:43:00.729
Response  - 13,8,I001*5bab * 24-03-2025 14:43:00.895
Response  - 13,8,F000*8f69 * 24-03-2025 14:43:01.234
Command * OPEN HEATER DOOR - #14,8,1,1*32d5
 * 24-03-2025 14:43:22.864
Response  - 14,8,I001*bdea * 24-03-2025 14:43:23.79
Response  - 14,8,F000*6928 * 24-03-2025 14:43:23.367
Command * CLOSE HEATER DOOR - #15,8,1,0*3204
 * 24-03-2025 14:43:36.882
Response  - 15,8,I001*712b * 24-03-2025 14:43:37.45
Response  - 15,8,F000*a5e9 * 24-03-2025 14:43:37.387
Command Sent SET TEMPERATURE - #0,10,32*870a  * 24-03-2025 15:38:44.200
CRC-Response  - 0,10,F000*1ae9 * 24-03-2025 15:38:44.603
Command Sent HEATER ON - #1,12,1*dbe7  * 24-03-2025 15:38:45.764
CRC-Response  - 1,12,F000*68e5 * 24-03-2025 15:38:45.978
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 24-03-2025 15:38:46.631
CRC-Response  - 2,8,I001*fd79 * 24-03-2025 15:38:46.848
CRC-Response  - 2,8,F000*29bb * 24-03-2025 15:38:47.192
Command Sent READ TEMPERATURE - #3,11*ed1a  * 24-03-2025 15:38:47.517
CRC-Response  - 3,11,F000,-273*7032 * 24-03-2025 15:38:47.732
Command Sent READ TEMPERATURE - #4,11*991b  * 24-03-2025 15:38:57.906
CRC-Response  - 4,11,F000,545*9384 * 24-03-2025 15:38:58.121
Command Sent WATER VALVE - 1 CONTROL OFF - #5,13,1,0*4c2b  * 24-03-2025 15:39:08.294
CRC-Response  - 5,13,F000*79d6 * 24-03-2025 15:39:08.506
Command Sent WATER VALVE - 2 CONTROL OFF - #6,13,2,0*599b  * 24-03-2025 15:39:09.175
CRC-Response  - 6,13,F000*89c2 * 24-03-2025 15:39:09.390
Command Sent WATER VALVE - 3 CONTROL OFF - #7,13,3,0*550b  * 24-03-2025 15:39:10.54
CRC-Response  - 7,13,F000*19cf * 24-03-2025 15:39:10.267
Command Sent WATER VALVE - 4 CONTROL OFF - #8,13,4,0*d4fa  * 24-03-2025 15:39:10.920
CRC-Response  - 8,13,F000*e98e * 24-03-2025 15:39:11.134
Command Sent WATER VALVE - 5 CONTROL OFF - #9,13,5,0*d86a  * 24-03-2025 15:39:11.787
CRC-Response  - 9,13,F000*7983 * 24-03-2025 15:39:12.1
Command Sent WATER VALVE - 6 CONTROL OFF - #10,13,6,0*d849  * 24-03-2025 15:39:12.681
CRC-Response  - 10,13,F000*e4c2 * 24-03-2025 15:39:12.893
Command Sent Home Command - #11,5,01111111*e264  * 24-03-2025 15:39:13.558
CRC-Response  - 11,5,I001,01111111*59be * 24-03-2025 15:39:13.774
CRC-Response  - 11,5,F000*4be9 * 24-03-2025 15:39:13.778
Command Sent Home Command - #12,5,01111111*e660  * 24-03-2025 15:39:16.445
CRC-Response  - 12,5,I001,01111111*a94e * 24-03-2025 15:39:16.661
CRC-Response  - 12,5,F000*5ea9 * 24-03-2025 15:39:16.664
Command Sent Level Sensing For L1 - #13,4,17564,16380,0,0*94b5  * 24-03-2025 15:39:18.347
CRC-Response  - 13,4,I001*97ab * 24-03-2025 15:39:18.563
CRC-Response  - 13,4,F000,968*a722 * 24-03-2025 15:39:26.821
L1 Value - 200 * 24-03-2025 15:39:26.845
Command Sent Level Sensing For L2 - #14,4,13934,16380,0,0*e418  * 24-03-2025 15:39:27.210
CRC-Response  - 14,4,I001*71ea * 24-03-2025 15:39:27.426
CRC-Response  - 14,4,F000,966*a856 * 24-03-2025 15:39:29.704
L2 Value - 200 * 24-03-2025 15:39:29.722
Command Sent Level Sensing For L3 - #15,4,10304,16380,0,0*153a  * 24-03-2025 15:39:30.94
CRC-Response  - 15,4,I001*bd2b * 24-03-2025 15:39:30.309
CRC-Response  - 15,4,F000,964*aa2a * 24-03-2025 15:39:32.586
L3 Value - 200 * 24-03-2025 15:39:32.601
Command Sent Home Command - #16,5,01111111*2991  * 24-03-2025 15:39:32.986
CRC-Response  - 16,5,I001,01111111*680c * 24-03-2025 15:39:33.201
CRC-Response  - 16,5,F000*ada8 * 24-03-2025 15:39:33.206
Command Sent Home Command - #17,5,01111111*ea6c  * 24-03-2025 15:39:34.873
CRC-Response  - 17,5,I001,01111111*f85d * 24-03-2025 15:39:35.89
CRC-Response  - 17,5,F000*6169 * 24-03-2025 15:39:35.93
Rack - 1Protocol Started * 24-03-2025 15:39:36.342
Command Sent Rack-1 Picked from L1 - #18,2,1,17564,16380,0,0*c654  * 24-03-2025 15:39:36.557
CRC-Response  - 18,2,I001,1*4512 * 24-03-2025 15:39:36.772
CRC-Response  - 18,2,F000,1*7a43 * 24-03-2025 15:39:47.387
RA Picked Rack From L1 * 24-03-2025 15:39:47.392
Command Sent Rack-1 Placed in H1 - #19,3,1,2688,1000,0,1*0ed4  * 24-03-2025 15:39:48.25
CRC-Response  - 19,3,I001,1*4c82 * 24-03-2025 15:39:48.237
CRC-Response  - 19,3,F000,1*73d3 * 24-03-2025 15:39:55.107
RA Placed Rack in H1 * 24-03-2025 15:39:55.111
Command Sent HEATER DOOR CLOSE - #20,8,1,0*2711  * 24-03-2025 15:39:55.510
CRC-Response  - 20,8,I001*beff * 24-03-2025 15:39:55.725
CRC-Response  - 20,8,F000*6a3d * 24-03-2025 15:39:56.67
Command Sent READ TEMPERATURE - #21,11*b506  * 24-03-2025 15:39:56.432
CRC-Response  - 21,11,F000,-273*1968 * 24-03-2025 15:39:56.650
Command Sent READ TEMPERATURE - #22,11*f106  * 24-03-2025 15:39:58.801
CRC-Response  - 22,11,F000,545*4d16 * 24-03-2025 15:39:59.14
Command Sent READ TEMPERATURE - #23,11*0d07  * 24-03-2025 15:40:06.825
CRC-Response  - 23,11,F000,545*cc14 * 24-03-2025 15:40:07.35
Command Sent READ TEMPERATURE - #24,11*7906  * 24-03-2025 15:40:17.218
CRC-Response  - 24,11,F000,545*8b1f * 24-03-2025 15:40:17.434
